date,alcohol_sales
2013-01-31,88568.0
2013-02-28,99682.0
2013-03-31,106233.0
2013-04-30,92334.0
2013-05-31,108818.0
2013-06-30,106692.0
2013-07-31,98754.0
2013-08-31,110217.0
2013-09-30,100412.0
2013-10-31,111366.0
2013-11-30,111098.0
2013-12-31,239186.0
2014-01-31,111023.0
2014-02-28,110314.0
2014-03-31,139649.0
2014-04-30,120097.0
2014-05-31,126235.0
2014-06-30,135899.0
2014-07-31,114929.0
2014-08-31,114941.0
2014-09-30,100081.0
2014-10-31,116431.0
2014-11-30,109157.0
2014-12-31,253019.0
2015-01-31,124571.0
2015-02-28,135762.0
2015-03-31,139452.0
2015-04-30,142980.0
2015-05-31,147419.0
2015-06-30,151923.0
2015-07-31,143987.0
2015-08-31,142775.0
2015-09-30,123645.0
2015-10-31,148053.0
2015-11-30,139034.0
2015-12-31,275241.0
2016-01-31,127514.0
2016-02-29,151467.0
2016-03-31,147530.0
2016-04-30,129750.0
2016-05-31,138220.0
2016-06-30,135339.0
2016-07-31,179266.0
2016-08-31,151444.0
2016-09-30,130865.0
2016-10-31,138363.0
2016-11-30,155417.0
2016-12-31,307717.0
2017-01-31,130668.0
2017-02-28,144882.0
2017-03-31,147379.0
2017-04-30,147650.0
2017-05-31,147623.0
2017-06-30,154555.0
2017-07-31,159719.0
2017-08-31,81295.0
